timestamp,open,high,low,close,volume,vwap
2025-04-15 04:00:00-04:00,539.27,540.86,539.27,539.69,9662.0,540.2636
2025-04-15 04:01:00-04:00,539.85,540.22,539.6,539.97,4583.0,539.8747
2025-04-15 04:02:00-04:00,540.1,540.24,540.1,540.24,1103.0,540.1564
2025-04-15 04:03:00-04:00,540.2,540.36,540.18,540.18,5924.0,540.2095
2025-04-15 04:04:00-04:00,539.8,539.8,539.39,539.39,758.0,539.5536
2025-04-15 04:05:00-04:00,539.68,539.68,539.58,539.58,734.0,539.6666
2025-04-15 04:06:00-04:00,540.17,540.29,540.17,540.29,601.0,540.2158
2025-04-15 04:07:00-04:00,540.22,540.23,540.06,540.07,922.0,540.1289
2025-04-15 04:08:00-04:00,540.09,540.1,540.0,540.0,5419.0,540.0555
2025-04-15 04:09:00-04:00,540.03,540.1,540.01,540.1,1087.0,540.0555
2025-04-15 04:10:00-04:00,539.88,540.08,539.88,540.08,916.0,540.0231
2025-04-15 04:12:00-04:00,540.33,540.4,540.33,540.4,936.0,540.3948
2025-04-15 04:13:00-04:00,540.34,540.34,540.34,540.34,205.0,540.3354
2025-04-15 04:15:00-04:00,540.27,540.27,540.24,540.24,1155.0,540.2564
2025-04-15 04:16:00-04:00,540.32,540.44,540.32,540.44,373.0,540.3464
2025-04-15 04:18:00-04:00,540.55,540.55,540.55,540.55,700.0,540.5438
2025-04-15 04:20:00-04:00,540.1,540.35,540.1,540.35,523.0,540.2117
2025-04-15 04:21:00-04:00,540.4,540.4,540.4,540.4,1327.0,540.397
2025-04-15 04:22:00-04:00,540.4,540.52,540.4,540.52,2253.0,540.4833
2025-04-15 04:23:00-04:00,540.56,540.59,540.55,540.57,2683.0,540.5735
2025-04-15 04:24:00-04:00,540.26,540.26,540.26,540.26,689.0,540.3422
2025-04-15 04:25:00-04:00,540.08,540.09,539.9,539.9,895.0,540.0345
2025-04-15 04:27:00-04:00,540.23,540.23,540.09,540.09,500.0,540.118
2025-04-15 04:28:00-04:00,540.3,540.3,540.3,540.3,699.0,540.2452
2025-04-15 04:33:00-04:00,539.46,539.46,539.46,539.46,521.0,539.455
2025-04-15 04:34:00-04:00,539.49,539.49,539.49,539.49,630.0,539.4923
2025-04-15 04:37:00-04:00,539.2,539.46,539.2,539.43,993.0,539.3634
2025-04-15 04:38:00-04:00,539.66,539.66,539.66,539.66,170.0,539.6365
2025-04-15 04:40:00-04:00,539.72,539.72,539.72,539.72,220.0,539.7579
2025-04-15 04:42:00-04:00,539.86,539.9,539.68,539.9,2401.0,539.7956
2025-04-15 04:43:00-04:00,539.8,539.8,539.72,539.8,817.0,539.7857
2025-04-15 04:45:00-04:00,539.76,540.0,539.75,539.99,1983.0,539.9049
2025-04-15 04:46:00-04:00,539.8,539.8,539.8,539.8,257.0,539.9022
2025-04-15 04:48:00-04:00,539.8,539.8,539.8,539.8,741.0,539.7928
2025-04-15 04:50:00-04:00,539.68,539.69,539.68,539.68,360.0,539.7108
2025-04-15 04:51:00-04:00,539.72,539.72,539.72,539.72,160.0,539.7589
2025-04-15 04:52:00-04:00,539.95,539.96,539.92,539.96,791.0,539.9402
2025-04-15 04:54:00-04:00,539.64,539.64,539.64,539.64,211.0,539.5921
2025-04-15 04:55:00-04:00,539.72,539.72,539.72,539.72,249.0,539.7221
2025-04-15 04:57:00-04:00,539.89,539.89,539.89,539.89,204.0,539.8842
2025-04-15 04:58:00-04:00,539.95,539.95,539.77,539.78,1318.0,539.8473
2025-04-15 04:59:00-04:00,540.09,540.12,540.08,540.12,11178.0,540.1025
2025-04-15 05:00:00-04:00,539.58,539.6,539.58,539.6,1155.0,539.6596
2025-04-15 05:06:00-04:00,539.84,539.84,539.81,539.84,1095.0,539.839
2025-04-15 05:07:00-04:00,539.78,539.78,539.78,539.78,120.0,539.78
2025-04-15 05:09:00-04:00,539.71,539.71,539.71,539.71,105.0,539.7067
2025-04-15 05:15:00-04:00,539.7,539.7,539.7,539.7,281.0,539.6096
2025-04-15 05:16:00-04:00,539.75,539.78,539.75,539.78,269.0,539.7525
2025-04-15 05:18:00-04:00,539.31,539.31,539.12,539.12,1473.0,539.1851
2025-04-15 05:19:00-04:00,539.22,539.22,539.22,539.22,399.0,539.3571
2025-04-15 05:20:00-04:00,539.47,539.66,539.47,539.66,1383.0,539.6113
2025-04-15 05:23:00-04:00,539.95,540.0,539.95,540.0,672.0,539.964
2025-04-15 05:24:00-04:00,540.12,540.12,540.11,540.12,706.0,540.1172
2025-04-15 05:26:00-04:00,540.33,540.4,540.3,540.3,732.0,540.3523
2025-04-15 05:27:00-04:00,540.45,540.61,540.42,540.42,2942.0,540.5405
2025-04-15 05:28:00-04:00,540.4,540.44,540.4,540.44,1826.0,540.4215
2025-04-15 05:30:00-04:00,540.54,540.58,540.5,540.58,1258.0,540.5175
2025-04-15 05:31:00-04:00,540.65,540.67,540.63,540.63,724.0,540.6432
2025-04-15 05:32:00-04:00,540.58,540.58,540.58,540.58,218.0,540.5423
2025-04-15 05:34:00-04:00,540.47,540.47,540.46,540.46,412.0,540.4814
2025-04-15 05:36:00-04:00,540.28,540.28,540.15,540.15,339.0,540.2312
2025-04-15 05:37:00-04:00,540.08,540.1,539.99,539.99,971.0,540.0225
2025-04-15 05:38:00-04:00,539.89,539.92,539.73,539.73,2611.0,539.831
2025-04-15 05:39:00-04:00,539.71,539.71,539.6,539.6,1170.0,539.6819
2025-04-15 05:40:00-04:00,539.54,539.54,539.52,539.52,725.0,539.5351
2025-04-15 05:41:00-04:00,539.4,539.4,539.29,539.29,1019.0,539.3293
2025-04-15 05:43:00-04:00,539.21,539.23,539.21,539.23,424.0,539.2039
2025-04-15 05:44:00-04:00,539.0,539.04,538.99,538.99,3070.0,539.0248
